BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
AHAP;22155400;288600;6;76.77;265;MANG;24502700;259300;24;94.50;
PYFA;20703000;23300;15;888.54;266;CRSN;23435100;207800;15;112.78;
WOOD;20502400;68800;1;298.00;267;AMAR;22911400;82500;12;277.71;
JARR;20200000;101000;2;200.00;268;MMIX;22380000;186500;18;120.00;
BAYU;19599000;13900;6;1410.00;269;AGII;21953000;14400;4;1524.51;
HOKI;19351900;115800;17;167.11;270;AXIO;21438800;107200;3;199.99;
AYAM;19206900;176200;46;109.01;271;LPCK;21305000;31800;2;669.97;
RIGS;18788000;32800;5;572.80;272;PYFA;20688000;22900;14;903.41;
MPPA;17434500;295500;10;59.00;273;IMJS;20655400;74300;15;278.00;
BBSS;17370900;241800;4;71.84;274;TRIN;20595000;137300;3;150.00;
ISSP;17280000;60000;1;288.00;275;APEX;19494600;114500;24;170.26;
HAIS;17248000;77000;1;224.00;276;CAKK;19199000;128400;7;149.52;
LEAD;17019000;279000;1;61.00;277;BPTR;19055000;257500;5;74.00;
INAF;16913000;39800;2;424.95;278;MARI;18960000;379200;7;50.00;
CYBR-W;16428500;310000;2;53.00;279;SFAN;17775500;9300;6;1911.34;
PEHA;16380000;31500;1;520.00;280;CYBR-W;17161400;323800;6;53.00;
BALI;16214500;16900;2;959.44;281;GTBO;16819000;41800;17;402.37;
MSJA;15900000;50000;15;318.00;282;CYBR;16718400;77500;12;215.72;
KETR;14979600;65700;1;228.00;283;DGIK;15953700;177700;6;89.78;
IMAS;14589000;10600;11;1376.32;284;ERAL;15627000;52500;9;297.66;
SOTS;14252300;65200;33;218.59;285;NIKL;15139200;56600;15;267.48;
IBOS;14171000;22400;9;632.63;286;BNII;14469200;59300;10;244.00;
TBLA;14164500;21300;1;665.00;287;SMKM;14429300;277000;16;52.09;
DKFT;13996600;134200;4;104.30;288;MCOL;14090000;2400;5;5870.83;
CRSN;13890900;129000;8;107.68;289;MLPL;13930800;204400;8;68.15;
GDST;13525500;106500;3;127.00;290;MSJA;13923800;43900;4;317.17;
DNAR;13444000;112000;7;120.04;291;SLIS;13678400;207300;38;65.98;
SURI;12860000;23800;4;540.34;292;SMLE;12977500;122300;35;106.11;
MLBI;12780000;1800;2;7100.00;293;HERO;12552000;13700;26;916.20;
GLVA;12600000;30000;1;420.00;294;BATA;12117000;127000;9;95.41;
CARS;12377000;124300;5;99.57;295;KKGI;12024000;32900;42;365.47;
SAMF;12243000;15900;1;770.00;296;CLPI;11662000;11900;4;980.00;
SMMA;11777500;800;6;14721.88;297;POLL;11567100;74800;17;154.64;
KKGI;11502400;31600;1;364.00;298;OBMD;10925400;41700;2;262.00;
VAST;11335600;175100;7;64.74;299;DVLA;10784000;6400;2;1685.00;
CAKK;11190500;75000;3;149.21;300;APLN;10403600;83900;4;124.00;
MASA;11108000;2900;2;3830.34;301;IBOS;10143000;15600;2;650.19;
EPMT;10962000;4200;5;2610.00;302;ITIC;10124400;34200;13;296.04;
KINO;10852000;9200;4;1179.57;303;GEMS;9957500;1700;7;5857.35;
SNLK;10623600;22700;1;468.00;304;RICY;9629200;82000;52;117.43;
TRON;10267200;41400;3;248.00;305;DGNS;9289000;35200;9;263.89;
BOLA;10266100;68900;1;149.00;306;BBSS;9069100;126900;5;71.47;
BIKE-W;10083000;734500;10;13.73;307;AWAN;9053000;31000;6;292.03;
GEMS;9945000;1700;1;5850.00;308;MBAP;8969000;2100;2;4270.95;
CHIP;9629000;4300;9;2239.30;309;BOLA;8266100;54600;9;151.39;
GTBO;9607800;23900;1;402.00;310;BBHI;8073500;6700;3;1205.00;
INRU;9213000;9900;3;930.61;311;BIKE-W;8042000;534500;4;15.05;
SCCO;9022500;900;4;10025.00;312;BEEF;7930000;32500;1;244.00;
SULI;8569300;68800;72;124.55;313;SMKL;7682400;38800;2;198.00;
ARCI;7899200;22100;21;357.43;314;UNIQ;7567800;35100;2;215.61;
MMLP;7735600;23300;1;332.00;315;ACRO;7041100;79100;23;89.02;
SKLT;7368400;33800;1;218.00;316;BINA;6778000;1600;2;4236.25;
BBLD;7367000;13900;1;530.00;317;BALI;6484500;6600;18;982.50;
SMLE;7293000;68900;10;105.85;318;LINK;6442000;5700;7;1130.18;
PEGE;6849600;41600;3;164.65;319;OILS;6404000;52000;7;123.15;
MCOR;6627200;87200;5;76.00;320;TBMS;6225000;2500;3;2490.00;
TBMS;6270000;2500;3;2508.00;321;MAIN;6220200;12600;5;493.67;
AGII;6020500;4000;2;1505.13;322;MASA;6050000;1600;5;3781.25;
BNLI;5947500;6500;1;915.00;323;SMDM;6044400;33000;4;183.16;
PEVE;5504000;32000;4;172.00;324;ZYRX;5841000;35400;1;165.00;
MAHA;5475500;30100;2;181.91;325;TFAS;5610500;10500;3;534.33;
KOBX;5362200;33100;1;162.00;326;GLVA;5569200;12600;1;442.00;
XBES;5361600;4800;1;1117.00;327;BUVA;5481500;98000;2;55.93;
CPRO;5300000;100000;1;53.00;328;CBUT;5469000;3200;12;1709.06;
TRGU;5082800;28700;13;177.10;329;ESTA;5456300;75500;9;72.27;
BATA;4898500;50500;2;97.00;330;SMLE-W;5112000;511200;2;10.00;
BKSW;4866400;63200;2;77.00;331;CLEO;5077500;7500;8;677.00;
OILS;4690000;40000;5;117.25;332;TLDN;4903200;10800;1;454.00;
SLIS;4595500;70700;8;65.00;333;RUIS;4343000;21500;4;202.00;
ACRO;4550000;50000;2;91.00;334;BUAH;4326000;2100;3;2060.00;
ALDO;4160000;6500;2;640.00;335;AISA;4266000;31600;4;135.00;
MEGA;3476000;700;2;4965.71;336;WEGE;4164800;54800;2;76.00;
DLTA;3400000;1000;1;3400.00;337;CAMP;3809800;10900;10;349.52;
ALKA;3365800;7300;3;461.07;338;MORA;3699600;8200;6;451.17;
DVLA;3340000;2000;1;1670.00;339;GOLD;3679800;12700;5;289.75;
FOLK;3226900;52900;5;61.00;340;BKSW;3534300;45900;1;77.00;
AWAN;3210800;11000;9;291.89;341;SDPC;3516400;23600;3;149.00;
MLPT;3209500;2100;3;1528.33;342;TOTO;3511200;15400;1;228.00;
PTSP;3105000;1500;3;2070.00;343;JARR;3494600;17300;6;202.00;
NZIA;2893800;37100;3;78.00;344;MRAT;3435800;10000;5;343.58;
SDRA;2761500;4800;2;575.31;345;ELPI;3364200;11900;8;282.71;
SHIP;2748000;2500;2;1099.20;346;RANC;3354000;5200;1;645.00;
VINS;2544500;15000;3;169.63;347;KINO;3306000;2800;4;1180.71;
ECII;2154600;8100;1;266.00;348;NFCX;3092000;900;7;3435.56;
KMDS;2100000;5000;1;420.00;349;HITS;3058000;7300;7;418.90;
BELI;1713600;3600;2;476.00;350;ALMI;2864400;15400;1;186.00;
KRYA;1611500;29300;1;55.00;351;PNBN;2652000;2400;3;1105.00;
CMPP;1545600;13800;1;112.00;352;PSDN;2497000;23000;12;108.57;
CITA;1481000;600;2;2468.33;353;DMMX;2393600;8900;10;268.94;
ALMI;1431400;8000;2;178.93;354;INDS;2370000;1000;1;2370.00;
RDTX;1400000;100;1;14000.00;355;PORT;2098000;3100;3;676.77;
IKBI;1386000;3000;1;462.00;356;OMED;2040200;10100;5;202.00;
DUTI;1350000;300;1;4500.00;357;TRIS;2000000;10000;1;200.00;
NIKL;1290800;5000;3;258.16;358;INOV;1987500;15900;3;125.00;
MLIA;1289600;3100;2;416.00;359;ALKA;1971200;4400;1;448.00;
XIIT;1240800;2200;2;564.00;360;ASLI;1965000;39300;1;50.00;
DFAM;1209600;22400;2;54.00;361;SOTS;1950000;10000;1;195.00;
ASLI;1000000;20000;1;50.00;362;SINI;1831000;2000;3;915.50;
POLL;867300;5900;1;147.00;363;SAPX;1630000;2000;1;815.00;
CSRA;755200;1600;1;472.00;364;ASPI;1626300;11700;7;139.00;
CFIN;721000;1500;2;480.67;365;BMAS;1573500;2900;11;542.59;
LIFE;602500;100;1;6025.00;366;EPMT;1566000;600;1;2610.00;
MDKADRCH4A;599000;19300;21;31.04;367;INRU;1536000;1600;3;960.00;
KDSI;555000;300;1;1850.00;368;DNAR;1452000;12000;1;121.00;
GEMA;542200;2300;3;235.74;369;BEER;1193800;4700;2;254.00;
RMKO;512000;2000;1;256.00;370;HDFA;1180500;10900;12;108.30;
DNET;465000;100;1;4650.00;371;UDNG;1165800;17400;1;67.00;
IFII;428900;2700;3;158.85;372;BRAM;1157500;200;2;5787.50;
ASDM;421200;900;1;468.00;373;GRIA;1111500;9500;1;117.00;
RUIS;400000;2000;1;200.00;374;SGRO;995000;500;1;1990.00;
PKPK;394200;1100;2;358.36;375;CITA;778000;300;3;2593.33;
BBSI;377000;100;1;3770.00;376;ASGR;716000;800;3;895.00;
RANC;372000;600;1;620.00;377;VICO;702000;6000;1;117.00;
ASGR;358000;400;1;895.00;378;MLPT;638000;400;1;1595.00;
PMJS;301400;2200;1;137.00;379;ZBRA;637000;1400;5;455.00;
HDFA;253800;2500;2;101.52;380;BNBA;608000;900;3;675.56;
INDS;238000;100;1;2380.00;381;NRCA;590000;1800;4;327.78;
DEPO;219600;600;1;366.00;382;IPCM;556000;2000;1;278.00;
HUMI-W;214000;42800;1;5.00;383;DYAN;538200;6900;1;78.00;
AMOR;205000;200;1;1025.00;384;MMLP;520800;1600;2;325.50;
PALM;188800;400;1;472.00;385;TRIM;500200;1800;3;277.89;
GHON;187000;100;1;1870.00;386;BCIC;495600;4200;1;118.00;
BLTZ;183000;100;1;1830.00;387;BTON;473200;1200;3;394.33;
PSGO;176400;1200;1;147.00;388;IFII;469800;2900;1;162.00;
ABBA;140400;2700;1;52.00;389;DWGL;467400;4100;1;114.00;
TLDN;136200;300;1;454.00;390;POLI;450000;600;1;750.00;
MDKADRCK4B;114200;5000;10;22.84;391;ACST;399900;3100;1;129.00;
KONI;101000;100;1;1010.00;392;DMND;392500;500;1;785.00;
PGUN;84000;200;1;420.00;393;BLTZ;391000;200;2;1955.00;
POLI;73500;100;1;735.00;394;SOSS;380800;800;1;476.00;
PZZA;68400;200;1;342.00;395;INDO;351500;3700;3;95.00;
SMKM;37100;700;1;53.00;396;SUNI;343600;900;3;381.78;
BRPTDRCH4A;13300;700;3;19.00;397;NIRO;333600;2400;1;139.00;
BRPTDRCK4B;7200;400;3;18.00;398;KBLI;332000;1000;1;332.00;
GOTOZPCG4A;5600;800;1;7.00;399;PBSA;330000;1100;1;300.00;
