BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
BNGA;4925614500;2800200;414;1759.02;52;PGEO;5850605000;4480500;648;1305.79;
MYOR;4719187000;1968400;395;2397.47;53;APIC;5819206000;4809000;1611;1210.07;
FILM;4552792500;748000;1294;6086.62;54;BUMI;5818255700;65189300;980;89.25;
ESSA;4523417000;8841300;390;511.62;55;MAPA;5723973500;5839200;1028;980.27;
ADMR;4499266000;3114300;574;1444.71;56;SMGA;5068052600;42485700;2901;119.29;
BREN;4427217000;900700;357;4915.31;57;SMRA;4800269000;8653200;931;554.74;
PWON;4422211600;10717600;367;412.61;58;PMMP;4790151400;12026600;1122;398.30;
BBTN;4271188500;3294100;425;1296.62;59;ARNA;4400519000;6666100;801;660.13;
SMGA;4187551900;35334600;1755;118.51;60;HUMI;4288104500;55438000;508;77.35;
BIPI;4135050000;46958500;205;88.06;61;MIKA;4090286000;1477300;354;2768.76;
INTP;4026337500;449200;310;8963.35;62;RAJA;3995152000;3058300;587;1306.33;
HATM;3938301200;13395600;69;294.00;63;GJTL;3918818000;3652600;881;1072.88;
MAPI;3903564500;1998700;958;1953.05;64;PTBA;3894004000;1505000;1257;2587.38;
BUMI;3726041700;41714300;763;89.32;65;BULL;3833997500;24245300;502;158.13;
MIDI;3546197000;8792800;835;403.31;66;ADMR;3502500500;2415300;779;1450.13;
DRMA;3505997000;2849900;1041;1230.22;67;BRMS;3443812600;22370700;990;153.94;
AUTO;3204274000;1434800;1342;2233.25;68;ANTM;3435854000;2221400;816;1546.71;
BSDE;3130892000;3055500;305;1024.67;69;EMTK;3392009800;7041600;584;481.71;
MPXL;3111310500;17357400;396;179.25;70;BSDE;3302890500;3221400;604;1025.30;
HUMI;3031925800;39046200;209;77.65;71;MPXL;3245992000;18207300;1319;178.28;
TCPI;2951732500;416600;78;7085.29;72;MARK;3239243000;4095100;333;791.00;
CMNT;2863028000;2582300;167;1108.71;73;MSKY;3187698200;18013900;1130;176.96;
WIIM;2483842500;1426400;298;1741.34;74;CMNT;3178361000;2856500;283;1112.68;
AVIA;2406275500;4047900;317;594.45;75;SRTG;3168271000;2097800;418;1510.28;
NCKL;2308833500;2565900;336;899.81;76;ELSA;3164629000;7913300;383;399.91;
ARNA;2271568000;3450800;127;658.27;77;MIDI;3001690800;7464800;1367;402.11;
BOGA;2267544500;2120100;138;1069.55;78;BTPS;2905721500;1821500;623;1595.24;
EXCL;2255324000;973900;230;2315.77;79;DRMA;2875062000;2331800;441;1232.98;
SMSM;2196187000;1078000;773;2037.28;80;BNGA;2863324000;1630400;373;1756.21;
JPFA;2020791500;1893700;1029;1067.11;81;BOGA;2833780000;2645600;126;1071.13;
BBYB;1966322200;6114000;386;321.61;82;INDY;2822675000;2058300;688;1371.36;
CGAS;1923926800;9038300;512;212.86;83;SILO;2801291000;1208600;686;2317.80;
SRTG;1727298000;1144200;407;1509.61;84;GIAA;2683790400;39996500;414;67.10;
JTPE;1651118400;5506600;16;299.84;85;GGRM;2621467500;133500;405;19636.46;
HEAL;1624369500;1226800;197;1324.07;86;BFIN;2374231000;1978400;715;1200.08;
TBIG;1597577500;818700;242;1951.36;87;BUKA;2320885600;12281700;466;188.97;
GJTL;1555080000;1445900;444;1075.51;88;ESSA;2211348400;4349000;264;508.47;
INPP;1357880000;1807100;199;751.41;89;CGAS;2092680800;9696000;751;215.83;
SMRA;1342206000;2418600;219;554.95;90;SMSM;2088356000;1026300;893;2034.84;
HRUM;1280497000;1080000;128;1185.65;91;TKIM;1973705000;319200;314;6183.29;
SIDO;1237092000;2449300;179;505.08;92;JTPE;1949985400;6534400;318;298.42;
SMDR;1225800600;3615000;108;339.09;93;NCKL;1933532000;2151100;299;898.86;
CASA;1212802500;1622700;224;747.40;94;CMRY;1899483000;464500;384;4089.31;
RAAM;1211523500;2170700;185;558.13;95;HEAL;1857955000;1404200;603;1323.14;
NSSS;1208898400;6243600;124;193.62;96;PTPP;1812942400;4449100;744;407.49;
DOOH;1146663100;16468100;40;69.63;97;PANI;1695712000;352100;191;4816.00;
LSIP;1145539500;1355900;109;844.86;98;BIRD;1653099500;986300;417;1676.06;
SMCB;1092837500;824300;230;1325.78;99;BBYB;1468871200;4561900;370;321.99;
TKIM;1014247500;164400;67;6169.39;100;SSMS;1460420500;1265800;620;1153.75;
APIC;1003348000;825900;290;1214.85;101;JPFA;1429944000;1341000;1018;1066.33;
HMSP;1002623000;1161900;180;862.92;102;OASA;1371095700;9357500;344;146.52;
PSAB;928497400;7120200;196;130.40;103;INPP;1359389000;1809100;206;751.42;
SILO;899220000;390400;230;2303.33;104;ERAA;1315122200;3216400;469;408.88;
SCMA;841056200;5384200;201;156.21;105;TBIG;1273772000;653300;300;1949.75;
DSNG;839521500;1657500;54;506.50;106;SMDR;1233688000;3651000;307;337.90;
MSKY;839124000;4825500;322;173.89;107;CASA;1215728500;1635100;305;743.52;
BRMS;808534700;5269700;98;153.43;108;NSSS;1159552100;5996600;638;193.37;
SRAJ;795373500;1223100;242;650.29;109;PRDA;1151759000;230100;170;5005.47;
RSCH;791085600;4642100;308;170.42;110;HRUM;1112362000;942400;338;1180.35;
LPPF;781322000;367500;150;2126.05;111;AUTO;1104113000;493600;318;2236.86;
WEHA;781275100;4730100;253;165.17;112;SRAJ;1085389500;1660400;345;653.69;
TUGU;753014500;694300;272;1084.57;113;DSNG;1052118500;2069700;178;508.34;
IOTF;747275400;3876400;284;192.78;114;CARE;1014860900;6251500;194;162.34;
MSTI;747058000;563800;499;1325.04;115;BDMN;993466000;353700;157;2808.78;
WIFI;736207500;4839300;12;152.13;116;FREN;969525000;19390500;297;50.00;
